tag_names,tag_counts,tags,,,,
html,37089,html,,,,
javascript,41814,javascript,,,,
typescript,15805,typescript,,,,
css,25788,css,,,,
c++,16807,cpp,,,, 
php,14849,php,,,,
swift,3693,swift,,,,
logos,109,logos,,,,
dockerfile,4080,docker,,,,
shell,17719,shell,,,,
go,10653,go,,,,
objective-c,4828,objective-c,,,,
java,21876,java,,,,
asp,286,asp,,,,
c,14859,c,,,,
assembly,1481,assembly,,,,
vim_script,2773,linux,,,,
lua,2474,lua,,,,
ruby,12685,ruby,,,,
perl,2333,perl,,,,
solidity,708,solidity,,,,
dart,3155,dart,,,,
python,36189,python,,,,
scss,2505,javascript,,,,
rust,3783,rust,,,,
kotlin,3105,kotlin,,,,
vue,4938,vue,,,,
jupyter_notebook,15211,jupyter_notebook,,,,
svelte,376,svelte,,,,
c#,8260,c#,,,,
hack,296,hack,,,,
coffeescript,3689,coffeescript,,,,
actionscript,477,actionscript,,,,
elm,405,elm,,,,
plsql,221,plsql,,,,
ocaml,561,ocaml,,,,
handlebars,218,handlebars,,,,
scala,2425,scala,,,,
tsql,574,tsql,,,,
makefile,3214,makefile,,,,
tex,4512,tex,,,,
nunjucks,146,nunjucks,,,,
less,134,less,,,,
viml,2147,linux,,,,
blade,258,blade,,,,
visual_basic,393,visual_basic,,,,
xslt,462,xslt,,,,
cmake,614,cmake,,,,
elixir,1325,elixir,,,,
powershell,1216,powershell,,,,
yasnippet,15,yasnippet,,,,
ejs,600,ejs,,,,
hcl,1184,hcl,,,,
asp.net,40,.net,,,,
haskell,1478,haskell,,,,
purescript,68,purescript,,,,
sass,87,sass,,,,
g-code,37,g-code,,,,
common_lisp,370,common_lisp,,,,
opa,2,opa,,,,
emacs_lisp,1603,emacs_lisp,,,,
erlang,725,erlang,,,,
racket,248,racket,,,,
batchfile,737,batchfile,,,,
apacheconf,362,apacheconf,,,,
plpgsql,471,plpgsql,,,,
pug,103,pug,,,,
smarty,615,smarty,,,,
visual_basic_.net,83,.net,,,,
r,4268,r,,,,
brainfuck,58,brainfuck,,,,
nginx,276,nginx,,,,
glsl,162,glsl,,,,
julia,632,julia,,,,
roff,347,roff,,,,
liquid,118,liquid,,,,
vba,89,vba,,,,
clojure,1279,clojure,,,,
arduino,841,arduino,,,,
matlab,2145,matlab,,,,
markdown,91,markdown,,,,
objective-c++,221,objective-c++,,,,
groovy,905,objective-j,,,,
reason,45,reason,,,,
jinja,210,python,,,,
eagle,142,eagle,,,,
openedge_abl,167,openedge_abl,,,,
twig,44,twig,,,,
gdscript,169,gdscript,,,,
coldfusion,47,coldfusion,,,,
max,48,max,,,,
crystal,233,crystal,,,,
processing,447,processing,,,,
astro,88,astro,,,,
zig,70,zig,,,,
scheme,410,scheme,,,,
sqlpl,112,sqlpl,,,,
io,38,io,,,,
stylus,87,stylus,,,,
applescript,147,applescript,,,,
idl,55,idl,,,,
qml,176,qml,,,,
tcl,171,tcl,,,,
gcc_machine_description,126,gcc_machine_description,,,,
openscad,164,openscad,,,,
nix,282,nix,,,,
rescript,23,rescript,,,,
postscript,247,postscript,,,,
webassembly,108,webassembly,,,,
xml,71,xml,,,,
clips,16,clips,,,,
smali,75,smali,,,,
shaderlab,146,shaderlab,,,,
digital_command_language,148,digital_command_language,,,,
lasso,58,lasso,,,,
autoit,39,autoit,,,,
livescript,84,livescript,,,,
vyper,4,vyper,,,,
gherkin,73,gherkin,,,,
d,175,d,,,,
vala,138,vala,,,,
yacc,85,yacc,,,,
autohotkey,151,autohotkey,,,,
chuck,10,chuck,,,,
rich_text_format,169,rich_text_format,,,,
rpc,4,rpc,,,,
nim,99,nim,,,,
thrift,20,thrift,,,,
f#,248,f#,,,,
harbour,4,harbour,,,,
mercury,8,mercury,,,,
web_ontology_language,56,web_ontology_language,,,,
cucumber,33,cucumber,,,,
mql4,17,mql4,,,,
vim_snippet,34,linux,,,,
pure_data,34,pure_data,,,,
puppet,370,puppet,,,,
rascal,28,rascal,,,,
standard_ml,103,standard_ml,,,,
ragel,4,ragel,,,,
eiffel,7,eiffel,,,,
idris,39,idris,,,,
v,31,v,,,,
pov-ray_sdl,15,pov-ray_sdl,,,,
saltstack,96,saltstack,,,,
pascal,373,pascal,,,,
supercollider,38,supercollider,,,,
ags_script,43,ags_script,,,,
angelscript,18,angelscript,,,,
cap_cds,2,cap_cds,,,,
perl6,59,perl6,,,,
xs,5,xs,,,,
perl_6,38,perl_6,,,,
api_blueprint,46,api_blueprint,,,,
1c_enterprise,30,1c_enterprise,,,,
jsonnet,76,jsonnet,,,,
starlark,94,starlark,,,,
ampl,34,ampl,,,,
raku,24,raku,,,,
haxe,100,haxe,,,,
smalltalk,63,smalltalk,,,,
cuda,333,cuda,,,,
mustache,114,mustache,,,,
game_maker_language,21,game_maker_language,,,,
dm,13,dm,,,,
mathematica,181,mathematica,,,,
xbase,20,xbase,,,,
prolog,283,prolog,,,,
gap,28,gap,,,,
groff,121,groff,,,,
clean,6,clean,,,,
m,41,m,,,,
ada,30,ada,,,,
fortran,355,fortran,,,,
protocol_buffer,89,protocol_buffer,,,,
cobol,39,cobol,,,,
vhdl,231,vhdl,,,,
delphi,30,delphi,,,,
hy,25,hy,,,,
sql,17,sql,,,,
verilog,255,verilog,,,,
open_policy_agent,16,open_policy_agent,,,,
kvlang,6,kvlang,,,,
renderscript,6,renderscript,,,,
robotframework,25,robotframework,,,,
vbscript,28,vbscript,,,,
meson,12,meson,,,,
codeql,26,codeql,,,,
nimrod,26,nimrod,,,,
pony,11,pony,,,,
kicad,65,kicad,,,,
apex,37,apex,,,,
openqasm,5,openqasm,,,,
awk,71,awk,,,,
abap,17,abap,,,,
gosu,18,gosu,,,,
forth,23,forth,,,,
stan,44,stan,,,,
sas,57,sas,,,,
rebol,66,rebol,,,,
mql5,20,mql5,,,,
stata,77,stata,,,,
nextflow,25,nextflow,,,,
nesc,23,nesc,,,,
modelica,13,modelica,,,,
netlogo,33,netlogo,,,,
srecode_template,16,srecode_template,,,,
scilab,49,scilab,,,,
asl,28,asl,,,,
hyphy,5,hyphy,,,,
bro,10,bro,,,,
rmarkdown,2,rmarkdown,,,,
piglatin,16,piglatin,,,,
lex,42,lex,,,,
purebasic,68,purebasic,,,,
moonscript,20,moonscript,,,,
metal,3,metal,,,,
bicep,21,bicep,,,,
restructuredtext,6,restructuredtext,,,,
labview,10,labview,,,,
gams,5,gams,,,,
ligolang,1,ligolang,,,,
ini,1,ini,,,,
classic_asp,4,classic_asp,,,,
zap,2,zap,,,,
lean,18,lean,,,,
coq,74,coq,,,,
q#,6,q#,,,,
antlr,42,antlr,,,,
sqf,14,sqf,,,,
hiveql,2,hiveql,,,,
limbo,11,limbo,,,,
m4,56,m4,,,,
haml,10,haml,,,,
augeas,7,augeas,,,,
nwscript,1,nwscript,,,,
chapel,9,chapel,,,,
ballerina,7,ballerina,,,,
bitbake,27,bitbake,,,,
qmake,27,qmake,,,,
vcl,24,vcl,,,,
freemarker,43,freemarker,,,,
systemverilog,49,systemverilog,,,,
oz,3,oz,,,,
cue,7,cue,,,,
inno_setup,20,inno_setup,,,,
cweb,2,cweb,,,,
component_pascal,7,component_pascal,,,,
gnuplot,43,gnuplot,,,,
json,9,json,,,,
hlsl,25,hlsl,,,,
llvm,56,llvm,,,,
sourcepawn,23,sourcepawn,,,,
blitzbasic,10,blitzbasic,,,,
motoko,2,motoko,,,,
uno,6,uno,,,,
lolcode,8,lolcode,,,,
ioke,1,ioke,,,,
monkey,3,monkey,,,,
agda,29,agda,,,,
pawn,9,pawn,,,,
asciidoc,7,asciidoc,,,,
objective-j,37,objective-j,,,,
ceylon,8,ceylon,,,,
gettext_catalog,16,gettext_catalog,,,,
mirah,5,mirah,,,,
velocity_template_language,2,velocity_template_language,,,,
alloy,11,alloy,,,,
riot,2,riot,,,,
nemerle,5,nemerle,,,,
dhall,15,dhall,,,,
nu,7,nu,,,,
raml,24,raml,,,,
marko,3,marko,,,,
mako,21,mako,,,,
cadence,5,cadence,,,,
factor,9,factor,,,,
zephir,5,zephir,,,,
fancy,4,fancy,,,,
berry,1,berry,,,,
dot,24,dot,,,,
cartocss,27,cartocss,,,,
xquery,15,xquery,,,,
q,7,q,,,,
p4,5,p4,,,,
yaml,17,yaml,,,,
isabelle,15,isabelle,,,,
yara,18,yara,,,,
portugol,3,portugol,,,,
desktop,1,desktop,,,,
red,8,red,,,,
nsis,44,nsis,,,,
smt,2,smt,,,,
basic,7,basic,,,,
squirrel,10,squirrel,,,,
cairo,4,cairo,,,,
turing,11,turing,,,,
jq,2,jq,,,,
arc,25,arc,,,,
dtrace,6,dtrace,,,,
brightscript,12,brightscript,,,,
freebasic,5,freebasic,,,,
objectscript,1,objectscript,,,,
kakounescript,4,kakounescript,,,,
cython,38,cython,,,,
csound_document,4,csound_document,,,,
kit,3,kit,,,,
wdl,9,wdl,,,,
dylan,2,dylan,,,,
gdb,6,gdb,,,,
papyrus,5,papyrus,,,,
kaitai_struct,2,kaitai_struct,,,,
mcfunction,3,mcfunction,,,,
yul,1,yul,,,,
slim,6,slim,,,,
maxscript,18,maxscript,,,,
wisp,2,wisp,,,,
fennel,4,fennel,,,,
jsoniq,2,jsoniq,,,,
diff,12,diff,,,,
swig,11,swig,,,,
ragel_in_ruby_host,3,ragel_in_ruby_host,,,,
nasl,4,nasl,,,,
unrealscript,4,unrealscript,,,,
ren'py,16,ren'py,,,,
jasmin,5,jasmin,,,,
cirru,4,cirru,,,,
lsl,2,lsl,,,,
bison,4,bison,,,,
slash,8,slash,,,,
common_workflow_language,11,common_workflow_language,,,,
cool,7,cool,,,,
dataweave,3,dataweave,,,,
al,3,al,,,,
boo,7,boo,,,,
dogescript,1,dogescript,,,,
zil,3,zil,,,,
bikeshed,1,bikeshed,,,,
peg.js,1,peg.js,,,,
ncl,14,ncl,,,,
mupad,1,mupad,,,,
newlisp,7,newlisp,,,,
lilypond,20,lilypond,,,,
wikitext,6,wikitext,,,,
xc,3,xc,,,,
inform_7,7,inform_7,,,,
propeller_spin,4,propeller_spin,,,,
cap'n_proto,3,cap'n_proto,,,,
jest_snapshot,1,jest_snapshot,,,,
cycript,10,cycript,,,,
jetbrains_mps,2,jetbrains_mps,,,,
tla,14,tla,,,,
fantom,2,fantom,,,,
mask,5,mask,,,,
realbasic,3,realbasic,,,,
aspectj,5,aspectj,,,,
move,1,move,,,,
flux,2,flux,,,,
f*,4,f*,,,,
ats,7,ats,,,,
zenscript,4,zenscript,,,,
webidl,1,webidl,,,,
ooc,1,ooc,,,,
pogoscript,1,pogoscript,,,,
fluent,3,fluent,,,,
sed,8,sed,,,,
sage,3,sage,,,,
j,7,j,,,,
holyc,3,holyc,,,,
gaml,2,gaml,,,,
dcpu-16_asm,5,dcpu-16_asm,,,,
ecl,1,ecl,,,,
xojo,3,xojo,,,,
xtend,9,xtend,,,,
csound,2,csound,,,,
krl,1,krl,,,,
lookml,9,lookml,,,,
ring,2,ring,,,,
ec,2,ec,,,,
monkey_c,3,monkey_c,,,,
emberscript,6,emberscript,,,,
zeek,6,zeek,,,,
svg,1,svg,,,,
procfile,3,procfile,,,,
xonsh,6,xonsh,,,,
bluespec,2,bluespec,,,,
odin,3,odin,,,,
modula-2,2,modula-2,,,,
gsc,1,gsc,,,,
apl,2,apl,,,,
parrot,2,parrot,,,,
frege,3,frege,,,,
mirc_script,1,mirc_script,,,,
click,1,click,,,,
grammatical_framework,5,grammatical_framework,,,,
hoon,1,hoon,,,,
volt,1,volt,,,,
xproc,1,xproc,,,,
pan,1,pan,,,,
routeros_script,1,routeros_script,,,,
nit,4,nit,,,,
stringtemplate,2,stringtemplate,,,,
witcher_script,2,witcher_script,,,,
clarity,2,clarity,,,,
e,3,e,,,,
faust,1,faust,,,,
terra,12,terra,,,,
slice,1,slice,,,,
mlir,1,mlir,,,,
singularity,1,singularity,,,,
ti_program,1,ti_program,,,,
macaulay2,3,macaulay2,,,,
dafny,1,dafny,,,,
urweb,1,urweb,,,,
pep8,2,pep8,,,,
gleam,1,gleam,,,,
txl,1,txl,,,,
imagej_macro,2,imagej_macro,,,,
logtalk,1,logtalk,,,,
csound_score,1,csound_score,,,,
glyph,1,glyph,,,,
genshi,1,genshi,,,,
